crop,season,year_range,production
Rice,Kharif,2013-2014,914.97
Rice,Kharif,2014-2015,913.92
Rice,Kharif,2015-2016,914.13
Rice,Kharif,2016-2017,963.03
Rice,Kharif,2017-2018,971.35
Rice,Kharif,2018-2019,1020.4
Rice,Kharif,2019-2020,1022.77
Rice,Kharif,2020-2021,1052.08
Rice,Kharif,2021-2022,1110.01
Rice,Kharif,2022-2023,1105.12
Rice,Kharif,2023-2024,1132.59
Rice,Rabi,2013-2014,151.49
Rice,Rabi,2014-2015,140.91
Rice,Rabi,2015-2016,129.95
Rice,Rabi,2016-2017,133.96
Rice,Rabi,2017-2018,156.22
Rice,Rabi,2018-2019,144.38
Rice,Rabi,2019-2020,165.94
Rice,Rabi,2020-2021,191.6
Rice,Rabi,2021-2022,184.71
Rice,Rabi,2022-2023,150.04
Rice,Rabi,2023-2024,146.01
Rice,Summer,2013-2014,0
Rice,Summer,2014-2015,0
Rice,Summer,2015-2016,0
Rice,Summer,2016-2017,0
Rice,Summer,2017-2018,0
Rice,Summer,2018-2019,0
Rice,Summer,2019-2020,0
Rice,Summer,2020-2021,0
Rice,Summer,2021-2022,0
Rice,Summer,2022-2023,102.4
Rice,Summer,2023-2024,99.65
Wheat,Kharif,2013-2014,0
Wheat,Kharif,2014-2015,0
Wheat,Kharif,2015-2016,0
Wheat,Kharif,2016-2017,0
Wheat,Kharif,2017-2018,0
Wheat,Kharif,2018-2019,0
Wheat,Kharif,2019-2020,0
Wheat,Kharif,2020-2021,0
Wheat,Kharif,2021-2022,0
Wheat,Kharif,2022-2023,0
Wheat,Kharif,2023-2024,0
Wheat,Rabi,2013-2014,958.5
Wheat,Rabi,2014-2015,865.27
Wheat,Rabi,2015-2016,922.88
Wheat,Rabi,2016-2017,985.1
Wheat,Rabi,2017-2018,998.7
Wheat,Rabi,2018-2019,1035.96
Wheat,Rabi,2019-2020,1078.61
Wheat,Rabi,2020-2021,1095.86
Wheat,Rabi,2021-2022,1077.42
Wheat,Rabi,2022-2023,1105.54
Wheat,Rabi,2023-2024,1132.92
Wheat,Summer,2013-2014,0
Wheat,Summer,2014-2015,0
Wheat,Summer,2015-2016,0
Wheat,Summer,2016-2017,0
Wheat,Summer,2017-2018,0
Wheat,Summer,2018-2019,0
Wheat,Summer,2019-2020,0
Wheat,Summer,2020-2021,0
Wheat,Summer,2021-2022,0
Wheat,Summer,2022-2023,0
